,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
5525,[*]CCC([*])[*],CHEMBL3675508,[*]Nc1ncnc2c(C(N)=O)cccc12.[*]OC.[*]c1cccc(NC(=O)c2ccc(Br)cc2)c1,10.3010299957,[*]CC([*])[*],CHEMBL3685303,[*]Nc1ncnc2c(C(N)=O)cccc12.[*]OC.[*]c1cccc(NC(=O)c2ccc(Br)cc2)c1,9.25963731051
5526,[*]N1CCCC1,CHEMBL3685278,[*]CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,8.92081875395,[*]N1CCCCC1,CHEMBL3680432,[*]CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,8.21467016499
5527,[*]N1CCCCC1,CHEMBL3680432,[*]CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,8.21467016499,[*]N1CCCC1,CHEMBL3685278,[*]CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,8.92081875395
5528,[*]C(F)F,CHEMBL3675500,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.69897000434,[*]C(C)C,CHEMBL3680420,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.2218487496
5529,[*]C(F)F,CHEMBL3675500,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.69897000434,[*]C(C)(C)C,CHEMBL3675462,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.5228787453
5530,[*]C(C)C,CHEMBL3680420,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.2218487496,[*]C(F)F,CHEMBL3675500,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.69897000434
5531,[*]C(C)C,CHEMBL3680420,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.2218487496,[*]C(C)(C)C,CHEMBL3675462,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.5228787453
5532,[*]C(C)(C)C,CHEMBL3675462,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.5228787453,[*]C(F)F,CHEMBL3675500,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.69897000434
5533,[*]C(C)(C)C,CHEMBL3675462,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.5228787453,[*]C(C)C,CHEMBL3680420,[*]c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.2218487496
5534,[*]N(C)C,CHEMBL3680395,[*]CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,9.3767507096,[*]OC,CHEMBL3680479,[*]CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,10.3010299957
