,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
1219,CHEMBL1933551,C[C@@H]1CCC(CN1)N2CC[C@@]3(C2)CN(C(=O)c4cc5ccccc5[nH]4)c6ccccc36,IC50,7987160,>,30000,nM,8,B,CHEMBL1936069,2,CC1CCC(N2CCC3(CN(C(=O)c4cc5ccccc5[nH]4)c4ccccc43)C2)CN1,CHEMBL1933551,4.52287874528
1220,CHEMBL2426381,Clc1ccc(NC(=S)NC(=O)c2cn(nc2c3ccccc3)c4ccccc4)cc1,IC50,13446120,=,71,nM,9,B,CHEMBL2427325,2,O=C(NC(=S)Nc1ccc(Cl)cc1)c1cn(-c2ccccc2)nc1-c1ccccc1,CHEMBL2426381,7.14874165128
1221,CHEMBL2426382,Cc1ccc(NC(=S)NC(=O)c2cn(nc2c3ccc(C)cc3)c4ccccc4)cc1,IC50,13446119,=,52,nM,9,B,CHEMBL2427325,2,Cc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(C)cc2)cc1,CHEMBL2426382,7.28399665637
1222,CHEMBL2426385,Cc1ccc(cc1)c2nn(cc2C(=O)NC(=S)Nc3ccc(Cl)cc3)c4ccccc4,IC50,13446116,=,63,nM,9,B,CHEMBL2427325,2,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)NC(=S)Nc2ccc(Cl)cc2)cc1,CHEMBL2426385,7.20065945055
1223,CHEMBL2426386,Cc1ccc(NC(=S)NC(=O)c2cn(nc2c3ccc(Cl)cc3)c4ccccc4)cc1,IC50,13446115,=,42,nM,9,B,CHEMBL2427325,2,Cc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,CHEMBL2426386,7.3767507096
1224,CHEMBL2426387,COc1ccc(NC(=S)NC(=O)c2cn(nc2c3ccc(Cl)cc3)c4ccccc4)cc1,IC50,13446114,=,37,nM,9,B,CHEMBL2427325,2,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,CHEMBL2426387,7.43179827593
1225,CHEMBL2426396,COc1ccc(cc1)c2nn(cc2C(=O)NC(=S)Nc3ccc(F)cc3)c4ccccc4,IC50,13446105,=,32,nM,9,B,CHEMBL2427325,2,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)NC(=S)Nc2ccc(F)cc2)cc1,CHEMBL2426396,7.49485002168
1226,CHEMBL1760057,C(COc1ccc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc1)CN5CCCCC5,IC50,6157881,=,19500,nM,8,B,CHEMBL1764780,2,c1ccc2ncc(Nc3ccnc(Nc4ccc(OCCCN5CCCCC5)cc4)n3)cc2c1,CHEMBL1760057,4.70996538864
1227,CHEMBL1242833,CC(C)(C)Nc1nc(nc2ccc(Nc3ccccc3)cc12)C(F)(F)F,IC50,3446961,=,600,nM,8,B,CHEMBL1250281,2,CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(Nc3ccccc3)cc12,CHEMBL1242833,6.22184874962
1228,CHEMBL1242832,NC(=O)c1ccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)NCCOCCO)\c2c1,IC50,3446960,=,4500,nM,8,B,CHEMBL1250281,2,NC(=O)c1ccc2c(c1)C(=NNc1ccc(S(=O)(=O)NCCOCCO)cc1)C(=O)N2,CHEMBL1242832,5.34678748622
