,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
97,CHEMBL401656,CCN(CCO)CCCOc1cc2cnnc(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)c2cc1OC,Ki,2081464,=,1100,nM,8,B,CHEMBL928667,0,CCN(CCO)CCCOc1cc2cnnc(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)c2cc1OC,CHEMBL401656,5.65757731918
98,CHEMBL3262780,O=C(Nc1cnn(Cc2cccc(c2)C#N)c1)c3n[nH]c4ccccc34,Ki,15005991,=,870,nM,9,B,CHEMBL3380550,0,N#Cc1cccc(Cn2cc(NC(=O)c3n[nH]c4ccccc34)cn2)c1,CHEMBL3262780,5.75945075172
99,CHEMBL214601,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCN(C)CCO,Ki,1790507,=,65,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCN(C)CCO,CHEMBL214601,6.88605664769
100,CHEMBL1835742,Nc1nc(Nc2ccccc2Cl)nn1c3ccccn3,Ki,6373528,=,2000,nM,8,B,CHEMBL1840410,0,Nc1nc(Nc2ccccc2Cl)nn1-c1ccccn1,CHEMBL1835742,5.39794000867
101,CHEMBL215022,OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cc(CC(=O)Nc5cccc(F)c5F)[nH]n4)ncnc3c2,Ki,1790547,=,950,nM,9,B,CHEMBL856402,0,O=C(Cc1cc(Nc2ncnc3cc(OCCCN4CCCC4CO)ccc23)n[nH]1)Nc1cccc(F)c1F,CHEMBL215022,5.72124639905
102,CHEMBL214637,CCCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2c1,Ki,1790543,=,350,nM,9,B,CHEMBL856402,0,CCCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2c1,CHEMBL214637,6.15490195999
103,CHEMBL493169,FC(F)(F)c1cccc(c1)c2nnc3ccc(NC4CCNCC4)nn23,Ki,2639194,=,800,nM,8,B,CHEMBL1022927,0,FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCNCC4)nn23)c1,CHEMBL493169,5.79588001734
104,CHEMBL3593825,COCC(C)c1cc(Nc2ccnc(n2)N(C)Cc3ccc4[nH]cnc4c3Cl)n[nH]1,Ki,15651912,=,131,nM,9,B,CHEMBL3595328,0,COCC(C)c1cc(Nc2ccnc(N(C)Cc3ccc4[nH]cnc4c3Cl)n2)n[nH]1,CHEMBL3593825,6.58169870868
105,CHEMBL571030,Cc1cnc(Nc2ccccc2C(F)(F)F)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,Ki,2938543,>,800,nM,8,B,CHEMBL1044907,0,Cc1cnc(Nc2ccccc2C(F)(F)F)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1,CHEMBL571030,5.79588001734
106,CHEMBL570367,Cc1cnc(Nc2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@@H](CO)c4ccccc4,Ki,2938545,=,270,nM,8,B,CHEMBL1044907,0,Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1,CHEMBL570367,6.26760624018
107,CHEMBL386310,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN5CCN(CCO)CC5,Ki,1790491,=,55,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN1CCN(CCO)CC1,CHEMBL386310,6.95860731484
