,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
15150,[*]c1ccccn1,CHEMBL3422071,[*]C(NC(=O)c1ccc2[nH]nc(-c3ccc(OC4CCN(C)CC4)cc3)c2c1)C1CCCC1,5,[*]c1ccsc1,CHEMBL3422069,[*]C(NC(=O)c1ccc2[nH]nc(-c3ccc(OC4CCN(C)CC4)cc3)c2c1)C1CCCC1,5.69897000434
15151,[*]c1ccsc1,CHEMBL3422069,[*]C(NC(=O)c1ccc2[nH]nc(-c3ccc(OC4CCN(C)CC4)cc3)c2c1)C1CCCC1,5.69897000434,[*]c1ccccn1,CHEMBL3422071,[*]C(NC(=O)c1ccc2[nH]nc(-c3ccc(OC4CCN(C)CC4)cc3)c2c1)C1CCCC1,5
15152,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395
15153,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862
15154,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]OC,CHEMBL3685259,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.43179827593
15155,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]SC(F)(F)F,CHEMBL3670474,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.40893539297
15156,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]OC,CHEMBL3670467,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
15157,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]N1CCCCC1=O,CHEMBL3680584,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.82390874094
15158,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]NC,CHEMBL3685238,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8
15159,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]C(F)(F)F,CHEMBL3685309,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.65757731918
15160,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]N(C)C,CHEMBL3670470,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.95860731484
15161,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]N1CCOCC1,CHEMBL3680590,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.7447274949
15162,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]CO,CHEMBL3680571,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.08092190762
15163,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]c1ncc[nH]1,CHEMBL3680556,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
15164,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357,[*]C(F)(F)F,CHEMBL3670451,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,5.92081875395
15165,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357
15166,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862
15167,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]OC(F)(F)F,CHEMBL3670469,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,5.72124639905
15168,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]OC,CHEMBL3685259,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.43179827593
15169,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]SC(F)(F)F,CHEMBL3670474,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.40893539297
15170,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]OC,CHEMBL3670467,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
