,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
2866,CHEMBL2316470,CNC(=O)c1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1,IC50,12641873,=,3,nM,9,B,CHEMBL2317232,2,CNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,CHEMBL2316470,8.52287874528
2867,CHEMBL2324924,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cncc5nccn45)cc2C(F)(F)F)CC1,IC50,12657893,=,43,nM,9,B,CHEMBL2330085,2,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,CHEMBL2324924,7.36653154442
2868,CHEMBL2182091,O=C(Nc1ccccc1)c2cccc(Nc3ccc4C(=O)CCCCc4c3)c2,IC50,12135284,=,6200,nM,8,B,CHEMBL2184768,2,O=C(Nc1ccccc1)c1cccc(Nc2ccc3c(c2)CCCCC3=O)c1,CHEMBL2182091,5.2076083105
2869,CHEMBL2152945,CC1(C)OC[C@@H](COc2ccc3CCc4cc(Nc5ccc(F)cc5F)ccc4C(=O)c3c2)O1,IC50,12047449,=,40,nM,8,B,CHEMBL2155531,2,CC1(C)OCC(COc2ccc3c(c2)C(=O)c2ccc(Nc4ccc(F)cc4F)cc2CC3)O1,CHEMBL2152945,7.39794000867
2870,CHEMBL2182109,COc1cccc(c1)C(=O)Nc2cccc(Nc3ccc4C(=O)CCCCc4c3)c2,IC50,12133479,=,160,nM,8,B,CHEMBL2184768,2,COc1cccc(C(=O)Nc2cccc(Nc3ccc4c(c3)CCCCC4=O)c2)c1,CHEMBL2182109,6.79588001734
2871,CHEMBL2182066,Cc1ccc(s1)C(=O)Nc2cccc(Nc3ccc4C(=O)c5ccccc5COc4c3)c2,IC50,12133447,=,6800,nM,8,B,CHEMBL2184768,2,Cc1ccc(C(=O)Nc2cccc(Nc3ccc4c(c3)OCc3ccccc3C4=O)c2)s1,CHEMBL2182066,5.16749108729
2872,CHEMBL3120964,CCOC(=O)Cn1cc(nn1)c2nc(c3ccc(F)cc3)c(c4ccncc4)n2C,IC50,13925914,=,1870,nM,9,B,CHEMBL3123036,2,CCOC(=O)Cn1cc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)n2C)nn1,CHEMBL3120964,5.72815839346
2873,CHEMBL3218973,CSc1nc(c2ccc(F)cc2)c([nH]1)c3ccnc(NC(=O)c4ccccc4)c3,IC50,14525777,=,19,nM,9,B,CHEMBL3222289,2,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)c3ccccc3)c2)[nH]1,CHEMBL3218973,7.72124639905
2874,CHEMBL3260614,Cc1cccc(n1)c2[nH]c(CNc3cccc(F)c3F)nc2c4ccc5ncnn5c4,IC50,14659538,=,2540,nM,9,B,CHEMBL3268789,2,Cc1cccc(-c2[nH]c(CNc3cccc(F)c3F)nc2-c2ccc3ncnn3c2)n1,CHEMBL3260614,5.59516628338
2875,CHEMBL363648,CCc1nc(c2cccc(C)c2)c(s1)c3ccnc(NC(=O)c4ccccc4)c3,IC50,14544100,=,71,nM,9,B,CHEMBL3224105,2,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL363648,7.14874165128
2876,CHEMBL1824436,Cc1cccc(n1)c2c(cnn2CC(=O)Nc3cccc(c3)C#N)c4ccc5nccnc5c4,IC50,6352134,>,1000,nM,9,B,CHEMBL1827918,2,Cc1cccc(-c2c(-c3ccc4nccnc4c3)cnn2CC(=O)Nc2cccc(C#N)c2)n1,CHEMBL1824436,6
2877,CHEMBL432798,CSc1nc(c2ccc(F)cc2)c(c3ccnc(NC(=O)C)c3)n1C,IC50,6194483,=,188,nM,9,B,CHEMBL1776378,2,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C,CHEMBL432798,6.72584215074
2878,CHEMBL1644623,O=C1NN=C(N1c2ccc3ccccc3c2)c4ccnc(NC5CC5)c4,IC50,5121222,>,50000,nM,8,B,CHEMBL1648829,2,O=c1[nH]nc(-c2ccnc(NC3CC3)c2)n1-c1ccc2ccccc2c1,CHEMBL1644623,4.30102999566
2879,CHEMBL1272271,CSc1nc(c2ccc(F)cc2)c(c3ccnc(NC(=O)C4CCCC4)c3)n1C,IC50,3520729,=,150,nM,8,B,CHEMBL1273209,2,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CCCC3)c2)n1C,CHEMBL1272271,6.82390874094
2880,CHEMBL519113,C[C@@H](NC1=C(Nc2ccnc(c2)c3occc3)C(=O)C1=O)c4ccccc4,IC50,2638317,>,50000,nM,8,B,CHEMBL1011432,2,CC(Nc1c(Nc2ccnc(-c3ccco3)c2)c(=O)c1=O)c1ccccc1,CHEMBL519113,4.30102999566
2881,CHEMBL258150,CC(C)S(=O)(=O)n1c(N)nc2ccc(cc12)c3[nH]c(C)nc3c4ccccc4.CS(=O)(=O)O,IC50,2090641,=,20.4,nM,9,B,CHEMBL932042,2,Cc1nc(-c2ccccc2)c(-c2ccc3nc(N)n(S(=O)(=O)C(C)C)c3c2)[nH]1,CHEMBL258150,7.69036983257
2882,CHEMBL402537,CC(C)Nc1nc2ccc(cc2s1)c3ccnn3c4ccccc4,IC50,2081719,=,21,nM,8,B,CHEMBL928788,2,CC(C)Nc1nc2ccc(-c3ccnn3-c3ccccc3)cc2s1,CHEMBL402537,7.67778070527
2883,CHEMBL388252,Clc1ccccc1n2ncc3CN(CCc23)C(=O)c4cccc5[nH]ccc45,IC50,1913383,=,37,nM,9,B,CHEMBL889782,2,O=C(c1cccc2[nH]ccc12)N1CCc2c(cnn2-c2ccccc2Cl)C1,CHEMBL388252,7.43179827593
2884,CHEMBL212753,CSc1nc2N(C(=O)NCc2c(n1)c3ccccc3Cl)c4c(Cl)cccc4Cl,IC50,1758453,=,10,nM,9,B,CHEMBL867362,2,CSc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,CHEMBL212753,8
2885,CHEMBL3314283,Fc1ccc(cc1)c2nc([nH]c2C3=CC(=O)NC=C3)C4CCNCC4,IC50,15040657,=,1140,nM,9,B,CHEMBL3363471,2,O=c1cc(-c2[nH]c(C3CCNCC3)nc2-c2ccc(F)cc2)cc[nH]1,CHEMBL3314283,5.94309514866
2886,CHEMBL1088443,Cc1ccc(cc1Nc2nncc3c2cnn3c4ccc(F)cc4F)C(=O)NC5CC5,IC50,3201867,=,3,nM,9,B,CHEMBL1102672,2,Cc1ccc(C(=O)NC2CC2)cc1Nc1nncc2c1cnn2-c1ccc(F)cc1F,CHEMBL1088443,8.52287874528
2887,CHEMBL1088441,Fc1ccc(cc1)n2ncc3c(Nc4cc(ccc4Cl)C(=O)NC5CC5)nncc23,IC50,3201861,=,8.5,nM,9,B,CHEMBL1102672,2,O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2ccc(F)cc2)c1,CHEMBL1088441,8.07058107429
