,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
832,CHEMBL446367,COc1cc2nccc(Oc3cc4cccc(C(=O)Nc5ccc(Cl)cc5)c4cn3)c2cc1OC,IC50,3446318,=,22.91,nM,9,B,CHEMBL1244602,2,COc1cc2nccc(Oc3cc4cccc(C(=O)Nc5ccc(Cl)cc5)c4cn3)c2cc1OC,CHEMBL446367,7.63997491081
833,CHEMBL497958,CC1=C(C(=O)N(C=C1)c2ccc(F)c(C)c2)c3ccc4nc(N)ncc4c3,IC50,2356841,=,4300,nM,8,B,CHEMBL955808,2,Cc1cc(-n2ccc(C)c(-c3ccc4nc(N)ncc4c3)c2=O)ccc1F,CHEMBL497958,5.36653154442
834,CHEMBL2113187,COCCOc1cc2ncnc(NC3=CC(=O)C(=CC3=O)Oc4cccc(F)c4)c2cc1OC,IC50,1656173,=,0.9,nM,9,B,CHEMBL864514,2,COCCOc1cc2ncnc(NC3=CC(=O)C(Oc4cccc(F)c4)=CC3=O)c2cc1OC,CHEMBL2113187,9.04575749056
835,CHEMBL259922,Cc1ccc(cc1Nc2ncnc3c2cnn3c4ccccc4)C(=O)Nc5ccon5,IC50,2158761,>,10000,nM,8,B,CHEMBL922524,2,Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc2c1cnn2-c1ccccc1,CHEMBL259922,5
836,CHEMBL1681933,CCCNC(=O)Nc1ccc(Oc2ncnc(N)c2\C=N\OC)cc1Cl,IC50,5248390,=,28,nM,8,B,CHEMBL1686633,2,CCCNC(=O)Nc1ccc(Oc2ncnc(N)c2C=NOC)cc1Cl,CHEMBL1681933,7.55284196866
837,CHEMBL598633,Oc1ccc(Nc2ncc3CC(=O)Nc4cccnc4c3n2)cc1,IC50,3122711,=,2700,nM,8,B,CHEMBL1067596,2,O=C1Cc2cnc(Nc3ccc(O)cc3)nc2-c2ncccc2N1,CHEMBL598633,5.56863623584
838,CHEMBL208513,Cn1cc(cn1)c2nnc(Nc3ccc(Cl)cc3)c4ccccc24,IC50,1698151,>,10000,nM,9,B,CHEMBL866514,2,Cn1cc(-c2nnc(Nc3ccc(Cl)cc3)c3ccccc23)cn1,CHEMBL208513,5
839,CHEMBL3288516,Nc1n[nH]c2cccc(c3ccc4c(cccc4c3)C(=O)Nc5cccc(Cl)c5)c12,IC50,14746908,=,3.1,nM,9,B,CHEMBL3295611,2,Nc1n[nH]c2cccc(-c3ccc4c(C(=O)Nc5cccc(Cl)c5)cccc4c3)c12,CHEMBL3288516,8.50863830617
840,CHEMBL2018747,CCCCC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C,IC50,10855867,=,6800,nM,9,B,CHEMBL2020643,2,CCCCC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C,CHEMBL2018747,5.16749108729
841,CHEMBL226838,Cc1cccc(n1)c2[nH]c(nc2c3ccc4OCOc4c3)C(C)(C)C,IC50,14659749,>,10000,nM,9,B,CHEMBL3270796,2,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,CHEMBL226838,5
842,CHEMBL98633,O=C(Nc1ncc(s1)c2ccccc2)c3ccccc3,IC50,42683,=,81,nM,8,B,CHEMBL812621,2,O=C(Nc1ncc(-c2ccccc2)s1)c1ccccc1,CHEMBL98633,7.09151498112
843,CHEMBL429585,COc1cc2nccc(Oc3ccc4c(cccc4c3F)C(=O)Nc5ccc(Cl)cc5)c2cc1OC,IC50,2121086,=,0.3,nM,8,B,CHEMBL932834,2,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3F)c2cc1OC,CHEMBL429585,9.52287874528
844,CHEMBL380735,N#Cc1cnc(Nc2cc(ncn2)N3CCN(CCN4CCCC4)CC3)s1,IC50,1686563,=,9,nM,9,B,CHEMBL860566,2,N#Cc1cnc(Nc2cc(N3CCN(CCN4CCCC4)CC3)ncn2)s1,CHEMBL380735,8.04575749056
845,CHEMBL249621,Cc1nnsc1C2=NNC(=O)/C/2=C\c3c[nH]c4ccccc34,IC50,2019848,>,1000,nM,9,B,CHEMBL903321,2,Cc1nnsc1C1=NNC(=O)C1=Cc1c[nH]c2ccccc12,CHEMBL249621,6
846,CHEMBL1084452,CN1CCCC1CCNc2nccc(n2)c3cccnc3Oc4ccc(Nc5nc6ccccc6[nH]5)c7ccccc47,IC50,3302674,=,2059,nM,8,B,CHEMBL1120723,2,CN1CCCC1CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,CHEMBL1084452,5.68634365338
847,CHEMBL1254444,COc1ccc(OC)c(Cc2cc3c(nc(N)nc3[nH]2)N(C)c4cccc(Br)c4)c1,IC50,3468981,>,200000,nM,8,B,CHEMBL1252157,2,COc1ccc(OC)c(Cc2cc3c(N(C)c4cccc(Br)c4)nc(N)nc3[nH]2)c1,CHEMBL1254444,3.69897000434
848,CHEMBL474709,O=C(Nc1ccc2ccccc2n1)c3nscc3NCc4ccncc4,IC50,2602378,=,440,nM,8,B,CHEMBL1034022,2,O=C(Nc1ccc2ccccc2n1)c1nscc1NCc1ccncc1,CHEMBL474709,6.35654732351
849,CHEMBL1080580,Cc1ccc(NC(=O)c2ccc(\C=C\C(=O)NO)cc2)cc1Nc3nc(cs3)c4cccnc4,IC50,2280539,=,11000,nM,8,B,CHEMBL1022425,2,Cc1ccc(NC(=O)c2ccc(C=CC(=O)NO)cc2)cc1Nc1nc(-c2cccnc2)cs1,CHEMBL1080580,4.95860731484
850,CHEMBL2079588,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c4ccoc24)ccn1,IC50,3595757,=,6,nM,8,B,CHEMBL1292980,2,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,CHEMBL2079588,8.22184874962
851,CHEMBL1761932,CCOC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1,IC50,10855909,=,600,nM,9,B,CHEMBL2020643,2,CCOC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1,CHEMBL1761932,6.22184874962
852,CHEMBL220482,Nc1ncc(cn1)C#Cc2cccc(c2)C(=O)Nc3cc(ccc3N4CCCCC4)C(F)(F)F,IC50,1815288,>,1000,nM,9,B,CHEMBL910167,2,Nc1ncc(C#Cc2cccc(C(=O)Nc3cc(C(F)(F)F)ccc3N3CCCCC3)c2)cn1,CHEMBL220482,6
853,CHEMBL3648118,COC[C@@H](Nc1nc(Nc2ccc(cc2)S(=N)(=O)C)ncc1Br)[C@@H](C)O,IC50,16319562,=,340,nM,9,B,CHEMBL3707963,2,COCC(Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br)C(C)O,CHEMBL3648118,6.46852108296
854,CHEMBL206536,CC(C)(C)c1ccc(Nc2nnc(c3cccc4cnccc34)c5ccccc25)cc1,IC50,2396032,=,75,nM,8,B,CHEMBL1006966,2,CC(C)(C)c1ccc(Nc2nnc(-c3cccc4cnccc34)c3ccccc23)cc1,CHEMBL206536,7.12493873661
855,CHEMBL1242024,CC(C)n1nc(c2ccc(O)cc2C)c3c(N)ncnc13,IC50,3442034,=,213,nM,8,B,CHEMBL1243976,2,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,CHEMBL1242024,6.67162039656
856,CHEMBL2087168,CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4cc(F)cc(F)c4)c5nc(C)c[nH]5)c3c2,IC50,11020132,=,3,nM,8,B,CHEMBL2091836,2,CCN1CCC(Nc2ccc3c(c2)C(=C(c2cc(F)cc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1,CHEMBL2087168,8.52287874528
857,CHEMBL219492,CCCn1c2ccc(NC(=O)OC(C)C)cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13,IC50,1793767,=,5,nM,9,B,CHEMBL814076,2,CCCn1c2ccc(NC(=O)OC(C)C)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,CHEMBL219492,8.30102999566
858,CHEMBL67057,Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)N7CCOCC7,IC50,47935,=,2050,nM,8,B,CHEMBL816964,2,Cc1cc(C(=O)N2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL67057,5.68824613894
859,CHEMBL504547,Oc1cc(CN\C=C\2/C(=O)NC(=O)c3ccc(I)cc23)ccc1c4cocc4,IC50,2401983,=,10000,nM,8,B,CHEMBL1016206,2,O=C1NC(=O)c2ccc(I)cc2C1=CNCc1ccc(-c2ccoc2)c(O)c1,CHEMBL504547,5
860,CHEMBL25610,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN4CCOCC4,IC50,332169,=,40,nM,8,B,CHEMBL817494,2,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,CHEMBL25610,7.39794000867
861,CHEMBL2088099,COCCCc1cc(Nc2ccnc(NCc3onc(C)c3)n2)n[nH]1,IC50,11010910,=,2511.89,nM,9,B,CHEMBL2090013,2,COCCCc1cc(Nc2ccnc(NCc3cc(C)no3)n2)n[nH]1,CHEMBL2088099,5.59999938302
862,CHEMBL203095,Clc1ccc(NC(=O)c2scnc2CCc3conc3)cc1,IC50,1677084,=,1850,nM,9,B,CHEMBL861906,2,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1cnoc1,CHEMBL203095,5.7328282716
863,CHEMBL3099462,COc1cc(NC(=O)Nc2ccc(OCCCN3CCOCC3)cc2)cc(c1OC)c4ccc(C(=O)C)c(OC)c4,IC50,13868204,=,4.06,nM,9,B,CHEMBL3102332,2,COc1cc(-c2cc(NC(=O)Nc3ccc(OCCCN4CCOCC4)cc3)cc(OC)c2OC)ccc1C(C)=O,CHEMBL3099462,8.39147396642
864,CHEMBL3671514,Fc1c(Cl)c(Br)ccc1Nc2ncnc3cc(OCCNC(=O)N4CCOCC4)c(NC(=O)C=C)cc23,IC50,15813546,=,134,nM,9,B,CHEMBL3705420,2,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=O)N1CCOCC1,CHEMBL3671514,6.87289520164
865,CHEMBL3642839,Cc1ccc(NC(=O)c2ccc(NS(=O)(=O)C=C)cc2)cc1Nc3nccc(n3)c4cccnc4,IC50,15778671,=,2200,nM,9,B,CHEMBL3705145,2,C=CS(=O)(=O)Nc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,CHEMBL3642839,5.65757731918
866,CHEMBL3403516,COc1ccc2c(ccn2c3nc(C)nc4oc(C)cc34)c1,IC50,15176347,>,300,nM,9,B,CHEMBL3404062,2,COc1ccc2c(ccn2-c2nc(C)nc3oc(C)cc23)c1,CHEMBL3403516,6.52287874528
867,CHEMBL271861,CC(C)Cn1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13)C(=O)c7cc(C)cs7,IC50,2122358,=,11,nM,8,B,CHEMBL950347,2,Cc1csc(C(=O)c2ccc3c(c2)c2c4c(c5c(c2n3CC(C)C)CCc2nn(C)cc2-5)C(=O)NC4)c1,CHEMBL271861,7.95860731484
868,CHEMBL3287316,CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5cccc(F)c5)cc3F)n2)c1,IC50,14733314,=,43,nM,9,B,CHEMBL3291812,2,CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5cccc(F)c5)CC4)cc3F)n2)c1,CHEMBL3287316,7.36653154442
869,CHEMBL2335377,Nc1nc(Nc2ccc(F)c(Br)c2)c3cc(CCc4ccccn4)[nH]c3n1,IC50,12692779,=,24100,nM,9,B,CHEMBL2343567,2,Nc1nc(Nc2ccc(F)c(Br)c2)c2cc(CCc3ccccn3)[nH]c2n1,CHEMBL2335377,4.61798295743
